month,naics_code,kind_of_business,value
2024-04-01,4481,Clothing stores,18442
2024-01-01,445,Food and beverage stores,81781
2023-10-01,4451,Grocery stores,73546
2023-07-01,no code,GAFO(1),129723
2022-04-01,no code,GAFO(1),129036
2023-08-01,4451,Grocery stores,73390
2021-03-01,no code,"Retail sales, total",550963
2020-10-01,44831,Jewelry stores,3010
2018-10-01,no code,GAFO(1),108378
2020-07-01,4451,Grocery stores,63546
2019-11-01,4482,Shoe stores,3031
2019-11-01,44831,Jewelry stores,2711
2013-08-01,4451,Grocery stores,48182
2013-05-01,no code,GAFO(1),100906
2012-11-01,no code,GAFO(1),99184
2019-08-01,4451,Grocery stores,58671
2012-06-01,no code,GAFO(1),98749
2012-03-01,no code,GAFO(1),99678
2017-10-01,4451,Grocery stores,55200
2010-10-01,no code,GAFO(1),92963
2000-12-01,no code,GAFO(1),72269
2000-07-01,no code,GAFO(1),71720
2000-02-01,4451,Grocery stores,32567
1999-11-01,no code,GAFO(1),69078
1999-06-01,447,Gasoline stations,17070
1998-09-01,no code,GAFO(1),63429
1998-03-01,no code,GAFO(1),62056
1997-02-01,no code,GAFO(1),58444
1996-09-01,4451,Grocery stores,30565
2016-11-01,4451,Grocery stores,52834
1995-07-01,no code,GAFO(1),54371
1995-04-01,no code,GAFO(1),53128
2015-01-01,445,Food and beverage stores,57106
1993-11-01,no code,GAFO(1),48652
2024-12-01,no code,"Retail and food services sales, total",730300
2024-12-01,no code,Retail sales and food services excl motor vehicle and parts,586975
2024-12-01,no code,Retail sales and food services excl gasoline stations,677593
2024-12-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,534268
2024-12-01,no code,"Retail sales, total",632591
2024-12-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",489266
2024-12-01,no code,GAFO(1),133651
2024-12-01,441,Motor vehicle and parts dealers,143325
2024-12-01,"44,114,412",Automobile and other motor vehicle dealers,131646
2024-12-01,4413,"Automotive parts, acc., and tire stores",11679
2024-12-01,"442,443","Furniture, home furn, electronics, and appliance stores",19468
2024-12-01,442,Furniture and home furnishings stores,11776
2024-12-01,443,Electronics and appliance stores,7692
2024-12-01,444,Building mat. and garden equip. and supplies dealers,40679
2024-12-01,4441,Building mat. and supplies dealers,35283
2024-12-01,445,Food and beverage stores,85000
2024-12-01,4451,Grocery stores,76036
2024-12-01,4453,"Beer, wine and liquor stores",6234
2024-12-01,446,Health and personal care stores,38233
2024-12-01,44611,Pharmacies and drug stores,32015
2024-12-01,447,Gasoline stations,52707
2024-12-01,448,Clothing and clothing access. stores,26663
2024-12-01,4481,Clothing stores,19035
2024-12-01,44812,Women's clothing stores,3025
2024-12-01,4482,Shoe stores,3213
2024-12-01,451,"Sporting goods, hobby, musical instrument, and book stores",8436
2024-12-01,452,General merchandise stores,76564
2024-12-01,4521,Department stores,10828
2024-12-01,4529,Other general merchandise stores,65736
2024-12-01,45291,Warehouse clubs and superstores,56519
2024-12-01,45299,All other gen. merchandise stores,9217
2024-12-01,453,Miscellaneous stores retailers,15570
2024-12-01,454,Nonstore retailers,125946
2024-12-01,4541,Electronic shopping and mail order houses,117059
2024-12-01,45431,Fuel dealers,3335
2024-12-01,722,Food services and drinking places,97709
2024-11-01,no code,"Retail and food services sales, total",725079
2024-11-01,no code,Retail sales and food services excl motor vehicle and parts,583087
2024-11-01,no code,Retail sales and food services excl gasoline stations,673465
2024-11-01,no code,Retail sales and food services excl motor vehicle and parts and gasoline stations,531473
2024-11-01,no code,"Retail sales, total",627443
2024-11-01,no code,"Retail sales, total (excl. motor vehicle and parts dealers)",485451
2024-11-01,no code,GAFO(1),132590
2024-11-01,441,Motor vehicle and parts dealers,141992
2024-11-01,"44,114,412",Automobile and other motor vehicle dealers,130362
2024-11-01,4413,"Automotive parts, acc., and tire stores",11630
2024-11-01,"442,443","Furniture, home furn, electronics, and appliance stores",19233
2024-11-01,442,Furniture and home furnishings stores,11552
2024-11-01,443,Electronics and appliance stores,7681
2024-11-01,444,Building mat. and garden equip. and supplies dealers,41342
2024-11-01,4441,Building mat. and supplies dealers,36062
2024-11-01,445,Food and beverage stores,84131
