month,naics_code,kind_of_business,value
2024-04-01,4481.0,Clothing stores,18442.0
2024-01-01,445.0,Food and beverage stores,81781.0
2023-10-01,4451.0,Grocery stores,73546.0
2023-08-01,4451.0,Grocery stores,73390.0
2020-10-01,44831.0,Jewelry stores,3010.0
2020-07-01,4451.0,Grocery stores,63546.0
2019-11-01,4482.0,Shoe stores,3031.0
2019-11-01,44831.0,Jewelry stores,2711.0
2013-08-01,4451.0,Grocery stores,48182.0
2019-08-01,4451.0,Grocery stores,58671.0
2017-10-01,4451.0,Grocery stores,55200.0
2000-02-01,4451.0,Grocery stores,32567.0
1999-06-01,447.0,Gasoline stations,17070.0
1996-09-01,4451.0,Grocery stores,30565.0
2016-11-01,4451.0,Grocery stores,52834.0
2015-01-01,445.0,Food and beverage stores,57106.0
2024-12-01,441.0,Motor vehicle and parts dealers,143325.0
2024-12-01,4413.0,"Automotive parts, acc., and tire stores",11679.0
2024-12-01,442.0,Furniture and home furnishings stores,11776.0
2024-12-01,443.0,Electronics and appliance stores,7692.0
2024-12-01,444.0,Building mat. and garden equip. and supplies dealers,40679.0
2024-12-01,4441.0,Building mat. and supplies dealers,35283.0
2024-12-01,445.0,Food and beverage stores,85000.0
2024-12-01,4451.0,Grocery stores,76036.0
2024-12-01,4453.0,"Beer, wine and liquor stores",6234.0
2024-12-01,446.0,Health and personal care stores,38233.0
2024-12-01,44611.0,Pharmacies and drug stores,32015.0
2024-12-01,447.0,Gasoline stations,52707.0
2024-12-01,448.0,Clothing and clothing access. stores,26663.0
2024-12-01,4481.0,Clothing stores,19035.0
2024-12-01,44812.0,Women's clothing stores,3025.0
2024-12-01,4482.0,Shoe stores,3213.0
2024-12-01,451.0,"Sporting goods, hobby, musical instrument, and book stores",8436.0
2024-12-01,452.0,General merchandise stores,76564.0
2024-12-01,4521.0,Department stores,10828.0
2024-12-01,4529.0,Other general merchandise stores,65736.0
2024-12-01,45291.0,Warehouse clubs and superstores,56519.0
2024-12-01,45299.0,All other gen. merchandise stores,9217.0
2024-12-01,453.0,Miscellaneous stores retailers,15570.0
2024-12-01,454.0,Nonstore retailers,125946.0
2024-12-01,4541.0,Electronic shopping and mail order houses,117059.0
2024-12-01,45431.0,Fuel dealers,3335.0
2024-12-01,722.0,Food services and drinking places,97709.0
2024-11-01,441.0,Motor vehicle and parts dealers,141992.0
2024-11-01,4413.0,"Automotive parts, acc., and tire stores",11630.0
2024-11-01,442.0,Furniture and home furnishings stores,11552.0
2024-11-01,443.0,Electronics and appliance stores,7681.0
